snapshot_id,person_id,date_id,position_id,org_unit_id,location_id,company_id,is_active,employment_type,tenure_days,tenure_months,tenure_band
265,124,20210630,2,17,4,1,1,Contractor,176,5.8,91-182 days
266,153,20210630,4,11,23,1,1,Part-Time,734,24.1,2-3 years
267,163,20210630,33,20,29,1,1,Full-Time,97,3.2,91-182 days
268,202,20210630,17,8,29,1,1,Contractor,122,4.0,91-182 days
269,281,20210630,7,11,28,1,1,Full-Time,692,22.7,1-2 years
270,295,20210630,27,10,9,1,1,Contractor,529,17.4,1-2 years
271,313,20210630,6,17,21,1,1,Part-Time,212,7.0,6-12 months
272,316,20210630,32,19,22,1,1,Full-Time,869,28.5,2-3 years
273,320,20210630,26,10,9,1,1,Full-Time,134,4.4,91-182 days
274,347,20210630,19,7,30,1,1,Full-Time,118,3.9,91-182 days
275,350,20210630,3,11,8,1,1,Full-Time,253,8.3,6-12 months
276,412,20210630,25,4,1,1,1,Full-Time,328,10.8,6-12 months
277,447,20210630,10,5,30,1,1,Full-Time,162,5.3,91-182 days
278,473,20210630,17,7,2,1,1,Full-Time,493,16.2,1-2 years
279,475,20210630,34,19,15,1,1,Full-Time,496,16.3,1-2 years
280,15,20210731,10,2,30,1,1,Full-Time,264,8.7,6-12 months
281,25,20210731,25,9,16,1,1,Full-Time,695,22.8,1-2 years
282,57,20210731,24,9,30,1,1,Part-Time,390,12.8,1-2 years
283,58,20210731,9,2,3,1,1,Contractor,403,13.2,1-2 years
284,68,20210731,31,18,22,1,1,Full-Time,167,5.5,91-182 days
285,80,20210731,7,16,12,1,1,Full-Time,355,11.7,6-12 months
286,98,20210731,13,5,18,1,1,Full-Time,285,9.4,6-12 months
287,101,20210731,19,8,1,1,1,Full-Time,9,0.3,0-90 days
288,124,20210731,2,17,4,1,1,Contractor,207,6.8,6-12 months
289,153,20210731,4,11,23,1,1,Part-Time,765,25.1,2-3 years
290,163,20210731,33,20,29,1,1,Full-Time,128,4.2,91-182 days
291,202,20210731,17,8,29,1,1,Contractor,153,5.0,91-182 days
292,225,20210731,14,6,18,1,1,Part-Time,11,0.4,0-90 days
293,281,20210731,7,11,28,1,1,Full-Time,723,23.8,1-2 years
294,295,20210731,27,10,9,1,1,Contractor,560,18.4,1-2 years
295,313,20210731,6,17,21,1,1,Part-Time,243,8.0,6-12 months
296,316,20210731,32,19,22,1,1,Full-Time,900,29.6,2-3 years
297,320,20210731,26,10,9,1,1,Full-Time,165,5.4,91-182 days
298,347,20210731,19,7,30,1,1,Full-Time,149,4.9,91-182 days
299,350,20210731,3,11,8,1,1,Full-Time,284,9.3,6-12 months
300,412,20210731,25,4,1,1,1,Full-Time,359,11.8,6-12 months
301,435,20210731,25,4,1,1,1,Full-Time,27,0.9,0-90 days
302,447,20210731,10,5,30,1,1,Full-Time,193,6.3,6-12 months
303,472,20210731,33,19,28,1,1,Contractor,11,0.4,0-90 days
304,475,20210731,34,19,15,1,1,Full-Time,527,17.3,1-2 years
305,15,20210831,10,2,30,1,1,Full-Time,295,9.7,6-12 months
306,25,20210831,25,9,16,1,1,Full-Time,726,23.9,1-2 years
307,57,20210831,24,9,30,1,1,Part-Time,421,13.8,1-2 years
308,58,20210831,9,2,3,1,1,Contractor,434,14.3,1-2 years
309,68,20210831,31,18,22,1,1,Full-Time,198,6.5,6-12 months
310,80,20210831,7,16,12,1,1,Full-Time,386,12.7,1-2 years
311,98,20210831,13,5,18,1,1,Full-Time,316,10.4,6-12 months
312,101,20210831,19,8,1,1,1,Full-Time,40,1.3,0-90 days
313,119,20210831,3,16,26,1,1,Contractor,19,0.6,0-90 days
314,124,20210831,2,17,4,1,1,Contractor,238,7.8,6-12 months
315,153,20210831,4,11,23,1,1,Part-Time,796,26.1,2-3 years
316,163,20210831,33,20,29,1,1,Full-Time,159,5.2,91-182 days
317,202,20210831,17,8,29,1,1,Contractor,184,6.0,6-12 months
318,225,20210831,14,6,18,1,1,Part-Time,42,1.4,0-90 days
319,281,20210831,7,11,28,1,1,Full-Time,754,24.8,2-3 years
320,295,20210831,27,10,9,1,1,Contractor,591,19.4,1-2 years
321,313,20210831,6,17,21,1,1,Part-Time,274,9.0,6-12 months
322,316,20210831,32,19,22,1,1,Full-Time,931,30.6,2-3 years
323,320,20210831,26,10,9,1,1,Full-Time,196,6.4,6-12 months
324,347,20210831,19,7,30,1,1,Full-Time,180,5.9,91-182 days
325,350,20210831,3,11,8,1,1,Full-Time,315,10.3,6-12 months
326,412,20210831,25,4,1,1,1,Full-Time,390,12.8,1-2 years
327,435,20210831,25,4,1,1,1,Full-Time,58,1.9,0-90 days
328,447,20210831,10,5,30,1,1,Full-Time,224,7.4,6-12 months
329,472,20210831,33,19,28,1,1,Contractor,42,1.4,0-90 days
330,475,20210831,34,19,15,1,1,Full-Time,558,18.3,1-2 years
331,15,20210930,10,2,30,1,1,Full-Time,325,10.7,6-12 months
332,25,20210930,25,9,16,1,1,Full-Time,756,24.8,2-3 years
333,57,20210930,24,9,30,1,1,Part-Time,451,14.8,1-2 years
334,58,20210930,9,2,3,1,1,Contractor,464,15.2,1-2 years
335,68,20210930,31,18,22,1,1,Full-Time,228,7.5,6-12 months
336,80,20210930,7,16,12,1,1,Full-Time,416,13.7,1-2 years
337,98,20210930,13,5,18,1,1,Full-Time,346,11.4,6-12 months
338,101,20210930,19,8,1,1,1,Full-Time,70,2.3,0-90 days
339,119,20210930,3,16,26,1,1,Contractor,49,1.6,0-90 days
340,124,20210930,2,17,4,1,1,Contractor,268,8.8,6-12 months
341,153,20210930,4,11,23,1,1,Part-Time,826,27.1,2-3 years
342,163,20210930,19,3,29,1,1,Full-Time,189,6.2,6-12 months
343,202,20210930,17,8,29,1,1,Contractor,214,7.0,6-12 months
344,225,20210930,14,6,18,1,1,Part-Time,72,2.4,0-90 days
345,281,20210930,7,11,28,1,1,Full-Time,784,25.8,2-3 years
346,295,20210930,27,10,9,1,1,Contractor,621,20.4,1-2 years
347,313,20210930,6,17,21,1,1,Part-Time,304,10.0,6-12 months
348,316,20210930,32,19,22,1,1,Full-Time,961,31.6,2-3 years
349,320,20210930,26,10,9,1,1,Full-Time,226,7.4,6-12 months
350,347,20210930,19,7,30,1,1,Full-Time,210,6.9,6-12 months
351,350,20210930,3,11,8,1,1,Full-Time,345,11.3,6-12 months
352,412,20210930,25,4,1,1,1,Full-Time,420,13.8,1-2 years
353,435,20210930,25,4,1,1,1,Full-Time,88,2.9,0-90 days
354,447,20210930,10,5,30,1,1,Full-Time,254,8.3,6-12 months
355,472,20210930,33,19,28,1,1,Contractor,72,2.4,0-90 days
356,475,20210930,34,19,15,1,1,Full-Time,588,19.3,1-2 years
357,3,20211031,22,10,16,1,1,Contractor,3,0.1,0-90 days
358,15,20211031,10,2,30,1,1,Full-Time,356,11.7,6-12 months
359,25,20211031,25,9,16,1,1,Full-Time,787,25.9,2-3 years
360,57,20211031,24,9,30,1,1,Part-Time,482,15.8,1-2 years
361,58,20211031,9,2,3,1,1,Contractor,495,16.3,1-2 years
362,68,20211031,31,18,22,1,1,Full-Time,259,8.5,6-12 months
363,80,20211031,7,16,12,1,1,Full-Time,447,14.7,1-2 years
364,98,20211031,13,5,18,1,1,Full-Time,377,12.4,1-2 years
365,101,20211031,19,8,1,1,1,Full-Time,101,3.3,91-182 days
366,119,20211031,3,16,26,1,1,Contractor,80,2.6,0-90 days
367,124,20211031,2,17,4,1,1,Contractor,299,9.8,6-12 months
368,153,20211031,4,11,23,1,1,Part-Time,857,28.2,2-3 years
369,163,20211031,19,3,29,1,1,Full-Time,220,7.2,6-12 months
370,177,20211031,29,18,29,1,1,Full-Time,11,0.4,0-90 days
371,202,20211031,17,8,29,1,1,Contractor,245,8.0,6-12 months
372,225,20211031,14,6,18,1,1,Part-Time,103,3.4,91-182 days
373,281,20211031,7,11,28,1,1,Full-Time,815,26.8,2-3 years
374,295,20211031,27,10,9,1,1,Contractor,652,21.4,1-2 years
375,313,20211031,6,17,21,1,1,Part-Time,335,11.0,6-12 months
376,316,20211031,32,19,22,1,1,Full-Time,992,32.6,2-3 years
377,320,20211031,26,10,9,1,1,Full-Time,257,8.4,6-12 months
378,347,20211031,19,7,30,1,1,Full-Time,241,7.9,6-12 months
379,350,20211031,3,11,8,1,1,Full-Time,376,12.4,1-2 years
380,399,20211031,34,20,7,1,1,Full-Time,14,0.5,0-90 days
381,412,20211031,25,4,1,1,1,Full-Time,451,14.8,1-2 years
382,435,20211031,25,4,1,1,1,Full-Time,119,3.9,91-182 days
383,447,20211031,10,5,30,1,1,Full-Time,285,9.4,6-12 months
384,472,20211031,33,19,28,1,1,Contractor,103,3.4,91-182 days
385,475,20211031,34,19,15,1,1,Full-Time,619,20.3,1-2 years
386,3,20211130,22,10,16,1,1,Contractor,33,1.1,0-90 days
387,15,20211130,10,2,30,1,1,Full-Time,386,12.7,1-2 years
